date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:33	53274/53274	---M--	200	added ('OK')	image/jpeg	etag:%22499d1dd2876b931e9cf0509e3d1884f5%22	https://www.zoomcar.com/build/img/testimonial_bg.499d1dd2876b931e9cf0509e3d1884f5.jpg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/testimonial_bg.499d1dd2876b931e9cf0509e3d1884f5.jpg	(from https://www.zoomcar.com/)
17:04:33	639/639	---M--	200	added ('OK')	image/png	etag:%22577e70bf4479f87726e9b62c3afe8be0%22	https://www.zoomcar.com/build/img/quotation.577e70bf4479f87726e9b62c3afe8be0.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/quotation.577e70bf4479f87726e9b62c3afe8be0.png	(from https://www.zoomcar.com/)
17:04:34	6689/6689	---M--	200	added ('OK')	image/png	etag:%229582c9ea4e5e6aecf56ef79523b2bd57%22	https://www.zoomcar.com/build/img/The-Business-Line.9582c9ea4e5e6aecf56ef79523b2bd57.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/The-Business-Line.9582c9ea4e5e6aecf56ef79523b2bd57.png	(from https://www.zoomcar.com/)
17:04:34	5905/5905	---M--	200	added ('OK')	image/png	etag:%224c531c8198f15ebe7517db4444086199%22	https://www.zoomcar.com/build/img/LiveMint.4c531c8198f15ebe7517db4444086199.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/LiveMint.4c531c8198f15ebe7517db4444086199.png	(from https://www.zoomcar.com/)
17:04:34	7997/7997	---M--	200	added ('OK')	image/png	etag:%22120c0a2cd6c7da8179d9f13db35b9e42%22	https://www.zoomcar.com/build/img/ET-Brand-Equity.120c0a2cd6c7da8179d9f13db35b9e42.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/ET-Brand-Equity.120c0a2cd6c7da8179d9f13db35b9e42.png	(from https://www.zoomcar.com/)
17:04:34	6222/6222	---M--	200	added ('OK')	image/png	etag:%22a1adc56311cc01301a8efe1440baedb7%22	https://www.zoomcar.com/build/img/CNBC.a1adc56311cc01301a8efe1440baedb7.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/CNBC.a1adc56311cc01301a8efe1440baedb7.png	(from https://www.zoomcar.com/)
17:04:34	14733/14733	---M--	200	added ('OK')	image/png	etag:%223334bff95770ee5c4c662186f7f6c49f%22	https://www.zoomcar.com/build/img/press.3334bff95770ee5c4c662186f7f6c49f.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/press.3334bff95770ee5c4c662186f7f6c49f.png	(from https://www.zoomcar.com/)
17:04:35	15048/15048	---M--	200	added ('OK')	image/png	etag:%22a6b70adda75bad5b0ca8f5d6ad58e472%22	https://www.zoomcar.com/build/img/ET-Now.a6b70adda75bad5b0ca8f5d6ad58e472.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/ET-Now.a6b70adda75bad5b0ca8f5d6ad58e472.png	(from https://www.zoomcar.com/)
17:04:35	161246/161246	---M-Z	200	added ('OK')	text/html	etag:W/%2236cccc7d4a190dd8b1fe20167a556532%22	https://www.zoomcar.com/howitworks	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/howitworks.html	(from https://www.zoomcar.com/)
17:04:35	2279/2279	---M-Z	200	added ('OK')	image/svg+xml	etag:%222adcbe18edb84c7c1fdf0c8d6c894f8b%22	https://www.zoomcar.com/build/img/zc-works.2adcbe18edb84c7c1fdf0c8d6c894f8b.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/zc-works.2adcbe18edb84c7c1fdf0c8d6c894f8b.svg	(from https://www.zoomcar.com/)
